ticker,manager,total_value,portfolio_pct,recent_actions,action_details,periods,change_type,concentration_score,_analysis_type,_generated,_periods,_window_quarters
AMR,Mohnish Pabrai,108535000,27.0,"Add, Add, Add",Add 2.07%; Add 15.57%; Add 11.02%,"Q4 2025, Q3 2025, Q2 2025",Increased,40.5,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
LOAR,David Abrams,2179416000,38.41,Reduce,Reduce 14.37%,Q2 2025,Reduced,38.41,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
JHG,Nelson Peltz,1515951000,38.05,,,,Maintained,38.05,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
AXTA,Alex Roepers,33085000,18.63,"Add, Buy",Add 34.03%; Buy,"Q4 2025, Q3 2025",New High Conviction,37.26,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
GPI,Greg Alexander,223561000,37.04,,,,Maintained,37.04,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
BRK.A,Norbert Lou,109446000,36.38,,,,Maintained,36.38,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
BRK.B,Guy Spier - Aquamarine Capital,49059000,33.25,Reduce,Reduce 30.58%,Q4 2025,Reduced,33.25,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
EQH,Greg Alexander,200130000,33.16,Reduce,Reduce 16.00%,Q3 2025,Reduced,33.16,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
AMZN,AltaRock Partners,1688341000,33.1,"Reduce, Add, Add",Reduce 3.22%; Add 20.43%; Add 20.63%,"Q4 2025, Q3 2025, Q2 2025",Reduced,33.1,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
BRK.A,Francis Chou,64913000,32.21,,,,Maintained,32.21,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
CVI,Carl Icahn,1791446000,21.21,Add,Add 2.75%,Q2 2025,Increased,31.815,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
SPGI,Valley Forge Capital Management,918807000,20.83,Add,Add 0.18%,Q4 2025,Increased,31.245,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
BRK.B,Duan Yongping,3607115000,20.63,"Add, Add",Add 38.24%; Add 53.53%,"Q4 2025, Q3 2025",Increased,30.945,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
BL,Glenn Welling,59913000,15.28,"Add, Buy",Add 138.79%; Buy,"Q4 2025, Q3 2025",New High Conviction,30.56,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
CVNA,Robert Vinall,128042000,29.81,"Reduce, Reduce, Reduce",Reduce 31.86%; Reduce 12.76%; Reduce 6.79%,"Q4 2025, Q3 2025, Q2 2025",Reduced,29.81,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
PDD,Li Lu,522501000,14.64,Buy,Buy,Q2 2025,New High Conviction,29.28,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
MA,Valley Forge Capital Management,849132000,19.25,Add,Add 0.18%,Q4 2025,Increased,28.875,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
AMZN,Bill Ackman,2217678000,14.28,"Add, Buy",Add 64.99%; Buy,"Q4 2025, Q2 2025",New High Conviction,28.56,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
IBKR,Bryan Lawrence,66287000,28.42,,,,Maintained,28.42,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
KEX,Alex Roepers,24570000,13.83,Buy,Buy,Q4 2025,New High Conviction,27.66,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
BRK.B,Bill & Melinda Gates Foundation Trust,9754810000,27.59,"Reduce, Reduce, Add",Reduce 10.84%; Reduce 9.78%; Add 40.48%,"Q4 2025, Q3 2025, Q2 2025",Reduced,27.59,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
GIL,Bryan Lawrence,42578000,18.25,Add,Add 11.44%,Q2 2025,Increased,27.375,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
GE,Chris Hohn,14634638000,27.28,Reduce,Reduce 0.13%,Q2 2025,Reduced,27.28,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
RKT,Leon Cooperman,406881000,13.5,Buy,Buy,Q4 2025,New High Conviction,27.0,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
ASML,Pat Dorsey,205780000,17.89,"Add, Add, Add",Add 11.04%; Add 23.74%; Add 98.37%,"Q4 2025, Q3 2025, Q2 2025",Increased,26.835,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
CHTR,Tom Bancroft,34235000,26.77,Reduce,Reduce 18.07%,Q3 2025,Reduced,26.77,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
TDG,AltaRock Partners,1289157000,25.28,"Reduce, Reduce",Reduce 0.72%; Reduce 0.36%,"Q4 2025, Q3 2025",Reduced,25.28,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
LEN,Greenhaven Associates,1037678000,16.82,"Add, Add, Add",Add 4.57%; Add 1.68%; Add 0.57%,"Q4 2025, Q3 2025, Q2 2025",Increased,25.23,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
FLS,Alex Roepers,21785000,12.26,Buy,Buy,Q4 2025,New High Conviction,24.52,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
VFC,Glenn Welling,95942000,24.47,"Reduce, Add, Reduce",Reduce 9.48%; Add 8.21%; Reduce 1.22%,"Q4 2025, Q3 2025, Q2 2025",Reduced,24.47,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
PDD,Norbert Lou,47057000,15.64,Add,Add 35.29%,Q2 2025,Increased,23.46,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
YETI,Glenn Welling,89784000,22.9,"Reduce, Add, Add",Reduce 6.31%; Add 0.33%; Add 40.10%,"Q4 2025, Q3 2025, Q2 2025",Reduced,22.9,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
MCO,Valley Forge Capital Management,672939000,15.25,Add,Add 0.24%,Q4 2025,Increased,22.875,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
META,Bill Ackman,1764796000,11.37,Buy,Buy,Q4 2025,New High Conviction,22.74,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
AAPL,Warren Buffett,61961735000,22.6,"Reduce, Reduce, Reduce",Reduce 4.32%; Reduce 14.92%; Reduce 6.67%,"Q4 2025, Q3 2025, Q2 2025",Reduced,22.6,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
GOOGL,Li Lu,796053000,22.31,,,,Maintained,22.31,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
LAD,Greg Alexander,132932000,22.02,Reduce,Reduce 20.00%,Q3 2025,Reduced,22.02,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
LAD,David Abrams,827679000,14.59,Add,Add 1.88%,Q3 2025,Increased,21.885,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
MKL,Josh Tarasoff,49238000,14.37,Add,Add 2.00%,Q4 2025,Increased,21.555,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
GOOG,Li Lu,769218000,21.55,,,,Maintained,21.55,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
CCL,Sarah Ketterer,1036674000,14.32,"Add, Add, Add",Add 6.37%; Add 9.56%; Add 9.65%,"Q4 2025, Q3 2025, Q2 2025",Increased,21.48,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
AMZN,Josh Tarasoff,73005000,21.31,"Reduce, Reduce",Reduce 1.74%; Reduce 0.85%,"Q4 2025, Q3 2025",Reduced,21.31,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
BLK,ValueAct Capital,743886000,10.59,Buy,Buy,Q4 2025,New High Conviction,21.18,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
