ticker,current_price,managers_shown,total_value,portfolio_pct,sell_count,selling_managers,shares_sold,periods,activities,52_week_low,52_week_high,52_week_position_pct,near_52w_high,profit_taking_score,selling_type,_analysis_type,_generated,_periods,_window_quarters
CNI,119.24,5,6349411000,3.85,4,"Bill & Melinda Gates Foundation Trust, Chris Hohn, AKO Capital",16158205,"Q3 2025, Q4 2025",Reduce 5.47%; Reduce 47.52%; Reduce 18.36%; Sell 100.00%,89.1,121.81,92.1430755120758,True,6366.625307551208,Peak Selling,52_week_high_sells,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
CVS,103.45,5,5976179000,2.32,24,"Bill Nygren, Hillman Capital Management, John Rogers, Dodge & Cox Funds, Samantha McLemore, +4 more",26061886,"Q1 2026, Q4 2025, Q3 2025",Reduce 5.89%; Reduce 4.29%; Reduce 35.01%; Reduce 12.96%; Reduce 11.44%,57.05,106.15,94.50101832993889,True,6033.629101832994,Heavy Distribution,52_week_high_sells,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
FDX,313.13,5,5268655000,1.69,18,"Lee Ainslie, Bill & Melinda Gates Foundation Trust, Mason Hawkins, Arnold Van Den Berg, John Rogers, +5 more",6834382,"Q1 2026, Q3 2025, Q4 2025",Reduce 92.09%; Reduce 5.92%; Reduce 31.08%; Reduce 4.08%; Reduce 1.36%,169.75,344.07,82.25103258375401,True,5312.880103258375,Heavy Distribution,52_week_high_sells,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
CP,86.65,5,4914413000,3.87,11,"Lee Ainslie, Chris Hohn, AKO Capital, Sarah Ketterer, John Armitage, +1 more",17013060,"Q3 2025, Q1 2026, Q4 2025",Sell 100.00%; Reduce 2.38%; Reduce 4.43%; Reduce 5.61%; Reduce 7.09%,67.98,91.32,79.9914310197087,True,4944.41214310197,Heavy Distribution,52_week_high_sells,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
CAT,1064.9,5,4777144000,2.72,11,"Bill Nygren, Bill & Melinda Gates Foundation Trust, Dodge & Cox Funds, Mairs & Power Funds, Thomas Russo",1003906,"Q1 2026, Q3 2025, Q4 2025",Reduce 23.59%; Reduce 9.41%; Reduce 13.60%; Reduce 1.79%; Reduce 0.17%,380.14,1073.46,98.76536087232446,True,4809.020536087232,Heavy Distribution,52_week_high_sells,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
DVA,222.48,5,4626159000,1.76,4,"Lee Ainslie, Warren Buffett",3699229,"Q3 2025, Q1 2026, Q4 2025",Sell 100.00%; Reduce 5.22%; Reduce 1.25%; Reduce 4.84%,101.0,224.19,98.61190031658413,True,4644.020190031658,Peak Selling,52_week_high_sells,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
MET,84.61,5,4414243000,2.3,3,"Dodge & Cox Funds, Richard Pzena",3124407,"Q1 2026, Q4 2025",Reduce 2.18%; Reduce 2.62%; Reduce 4.88%,66.82,89.62,78.02631578947367,True,4428.045631578948,Profit Taking,52_week_high_sells,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
BNY,144.61,5,4114045000,0.91,18,"Bill Nygren, First Eagle Investment Management, Dodge & Cox Funds, Christopher Davis, Tweedy Browne, +2 more",21274937,"Q1 2026, Q4 2025, Q3 2025",Reduce 36.46%; Reduce 98.04%; Reduce 29.79%; Reduce 5.43%; Reduce 9.33%,87.99,148.5,93.57131052718562,True,4159.402131052719,Heavy Distribution,52_week_high_sells,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
UNH,415.63,5,4042529000,1.47,40,"Lee Ainslie, Viking Global Investors, Bill Nygren, Glenn Greenberg, Warren Buffett, +5 more",11828936,"Q3 2025, Q1 2026, Q4 2025",Sell 100.00%; Reduce 55.00%; Reduce 1.72%; Reduce 91.69%; Reduce 16.60%,228.48,427.93,93.83304086237152,True,4131.912304086237,Heavy Distribution,52_week_high_sells,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
DAL,93.66,5,4072604000,1.17,14,"Bill Nygren, David Tepper, First Eagle Investment Management, Samantha McLemore, Richard Pzena, +1 more",4681404,"Q1 2026, Q3 2025, Q4 2025",Reduce 8.46%; Reduce 3.75%; Sell 100.00%; Reduce 15.91%; Reduce 5.10%,47.67,95.14,96.88224141563092,True,4110.292224141563,Heavy Distribution,52_week_high_sells,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
IFF,79.22,5,4038445000,2.9,6,"Carl Icahn, Hillman Capital Management, Sarah Ketterer, Dodge & Cox Funds, Robert Olstein",1683790,"Q4 2025, Q1 2026, Q3 2025",Reduce 10.00%; Reduce 4.29%; Reduce 4.08%; Sell 100.00%; Reduce 1.55%,58.13,83.51,83.09692671394797,True,4058.754692671395,Heavy Distribution,52_week_high_sells,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
APD,293.18,5,3966223000,1.1,5,"Viking Global Investors, Hillman Capital Management, Dodge & Cox Funds, Jensen Investment Management",688450,"Q1 2026, Q3 2025",Reduce 14.19%; Reduce 2.05%; Reduce 0.05%; Reduce 14.83%; Reduce 28.54%,226.03,307.96,81.96020993531066,True,3984.419020993531,Heavy Distribution,52_week_high_sells,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
FTV,61.09,5,3637941000,1.35,7,"Viking Global Investors, Daniel Loeb, Wallace Weitz, Dodge & Cox Funds, Robert Olstein",3453940,"Q4 2025, Q3 2025, Q1 2026",Reduce 6.13%; Sell 100.00%; Reduce 50.44%; Reduce 2.16%; Reduce 2.27%,46.14,63.34,86.9186046511628,True,3660.632860465116,Heavy Distribution,52_week_high_sells,2026-07-01,"Q1 2026, Q4 2025, Q3 2025",3
