ticker,company_name,current_price,manager_count,managers,total_value,avg_portfolio_pct,avg_reported_price,max_portfolio_pct,price_change_pct,52_week_low,discount_to_52w_low_pct,recent_buy_count,value_opportunity_score,value_type,_analysis_type,_generated,_periods,_window_quarters
SCHW,Charles Schwab Corp.,87.35,11,"Viking Global Investors, Bill Nygren, Francois Rochon, Ruane Cunniff LP, John Rogers, +5 more",11652965000,2.72,93.98181818181818,7.35,-7.056490617140653,83.96,4.037636969985709,13.0,31.5689617294743,Near 52W Low,value_price_opportunities,2026-06-01,"Q1 2026, Q4 2025, Q3 2025",3
UNP,Union Pacific,262.64,10,"Bill Nygren, Daniel Loeb, Seth Klarman, Dodge & Cox Funds, Mairs & Power Funds, +5 more",1428682000,1.05,242.60700000000003,7.31,8.257387462027047,207.45,26.60400096408773,16.0,30.19679995179561,Value Opportunity,value_price_opportunities,2026-06-01,"Q1 2026, Q4 2025, Q3 2025",3
CVX,Chevron Corp.,182.46,12,"Bill Nygren, Christopher Bloomstran, Warren Buffett, Arnold Van Den Berg, John Rogers, +5 more",17551226000,0.98,206.86333333333332,6.64,-11.796838492402392,129.77,40.60260460815288,12.0,29.820070801406168,Price Discount,value_price_opportunities,2026-06-01,"Q1 2026, Q4 2025, Q3 2025",3
ZBH,Zimmer Biomet Holdings,82.33,8,"Bill Nygren, Hillman Capital Management, John Rogers, Sarah Ketterer, Dodge & Cox Funds, +3 more",3482682000,1.51,90.44125,3.5,-8.968529293878621,79.12,4.057128412537909,14.0,29.343974438148827,Near 52W Low,value_price_opportunities,2026-06-01,"Q1 2026, Q4 2025, Q3 2025",3
COF,Capital One Financial,187.93,16,"Abrams Bison Investments, Lee Ainslie, Viking Global Investors, Bill Nygren, Glenn Greenberg, +5 more",8967743000,2.76,182.434375,7.15,3.012384590349264,174.23,7.86316937381623,7.0,28.98684153130919,Near 52W Low,value_price_opportunities,2026-06-01,"Q1 2026, Q4 2025, Q3 2025",3
CHTR,Charter Communications,144.05,7,"Lee Ainslie, Bill Nygren, Triple Frond Partners, Ruane Cunniff LP, First Eagle Investment Management, +2 more",4858647000,1.17,215.83142857142855,3.45,-33.25809825128076,136.63,5.430725316548354,10.0,28.96722624157159,Near 52W Low,value_price_opportunities,2026-06-01,"Q1 2026, Q4 2025, Q3 2025",3
TSN,Tyson Foods,61.02,6,"Christopher Davis, Tweedy Browne, Thomas Gayner, Yacktman Asset Management, Richard Pzena, +1 more",2181718000,2.06,64.07166666666666,3.85,-4.762895715734967,49.71,22.75196137598069,17.0,28.846647741014625,Value Opportunity,value_price_opportunities,2026-06-01,"Q1 2026, Q4 2025, Q3 2025",3
ACN,Accenture,187.07,10,"Bill Nygren, Ruane Cunniff LP, First Eagle Investment Management, Wallace Weitz, Polen Capital Management, +5 more",1604849000,1.07,198.316,3.05,-5.670747695596917,155.82,20.055191888075985,13.0,28.666889944715585,Value Opportunity,value_price_opportunities,2026-06-01,"Q1 2026, Q4 2025, Q3 2025",3
AVGO,Broadcom Inc.,446.77,12,"Bill Nygren, Daniel Loeb, Chase Coleman, Sarah Ketterer, Dodge & Cox Funds, +5 more",3411588000,2.3,309.48833333333334,8.34,44.357622527505065,233.01,91.73855199347668,15.0,28.562239066992834,Value Opportunity,value_price_opportunities,2026-06-01,"Q1 2026, Q4 2025, Q3 2025",3
PG,Procter & Gamble,143.56,9,"Bill Nygren, Terry Smith, Dodge & Cox Funds, Mairs & Power Funds, Thomas Russo, +4 more",1087072000,1.38,144.48666666666668,4.73,-0.6413509897107067,135.63,5.846789058467896,14.0,28.52481963390764,Near 52W Low,value_price_opportunities,2026-06-01,"Q1 2026, Q4 2025, Q3 2025",3
MCD,McDonald's Corp.,279.2,9,"Lee Ainslie, Viking Global Investors, Bill & Melinda Gates Foundation Trust, Dodge & Cox Funds, First Pacific Advisors, +4 more",1415720000,0.7,310.7755555555556,3.15,-10.160244263455592,271.98,2.6546069563938417,12.0,28.250429615982537,Near 52W Low,value_price_opportunities,2026-06-01,"Q1 2026, Q4 2025, Q3 2025",3
XOM,Exxon Mobil Corp.,145.26,11,"Bill Nygren, Christopher Bloomstran, Arnold Van Den Berg, First Eagle Investment Management, Dodge & Cox Funds, +5 more",1267207000,0.89,169.68,5.25,-14.3917963224894,98.06,48.1337956353253,11.0,27.91621493727707,Price Discount,value_price_opportunities,2026-06-01,"Q1 2026, Q4 2025, Q3 2025",3
SUNB,Sunbelt Rentals Holdings Inc,78.05,10,"Abrams Bison Investments, Bill Nygren, Glenn Greenberg, Francois Rochon, Pat Dorsey, +5 more",6217357000,6.56,65.09,35.38,19.910892610231976,61.03,27.88792397181713,11.0,27.884603801409146,Active Accumulation,value_price_opportunities,2026-06-01,"Q1 2026, Q4 2025, Q3 2025",3
