period,sector,net_flow,buy_actions,sell_actions
Q2 2012,Other,57,34,0
Q2 2012,Technology,4,1,0
Q1 2012,Energy,-2,0,0
Q1 2012,Financials,-4,1,0
Q1 2012,Healthcare,0,0,0
Q1 2012,Other,25,22,0
Q1 2012,Technology,0,1,0
Q4 2011,Energy,-2,0,0
Q4 2011,Financials,3,1,0
Q4 2011,Healthcare,-3,0,0
Q4 2011,Other,-2,19,0
Q4 2011,Technology,-1,1,0
Q3 2011,Energy,-2,0,0
Q3 2011,Financials,8,4,0
Q3 2011,Healthcare,3,1,0
Q3 2011,Other,21,16,0
Q3 2011,Technology,-1,0,0
Q2 2011,Financials,6,1,0
Q2 2011,Healthcare,-1,0,0
Q2 2011,Other,8,18,0
Q2 2011,Technology,4,0,0
Q1 2011,Energy,-3,0,0
Q1 2011,Financials,9,4,0
Q1 2011,Healthcare,2,3,0
Q1 2011,Other,-13,12,0
Q1 2011,Technology,0,1,0
Q4 2010,Energy,1,0,0
Q4 2010,Financials,1,0,0
Q4 2010,Other,-18,14,0
Q4 2010,Technology,-1,0,0
Q3 2010,Financials,4,2,0
Q3 2010,Healthcare,0,0,0
Q3 2010,Other,-8,12,0
Q3 2010,Technology,2,1,0
Q2 2010,Energy,1,0,0
Q2 2010,Financials,8,5,0
Q2 2010,Healthcare,2,1,0
Q2 2010,Other,9,21,0
Q2 2010,Technology,4,2,0
Q1 2010,Energy,1,0,0
Q1 2010,Financials,1,1,0
Q1 2010,Healthcare,-2,0,0
Q1 2010,Other,1,18,0
Q1 2010,Technology,1,0,0
Q4 2009,Energy,-1,0,0
Q4 2009,Financials,3,1,0
Q4 2009,Healthcare,-4,0,0
Q4 2009,Other,19,24,0
Q4 2009,Technology,-1,0,0
Q3 2009,Energy,1,0,0
Q3 2009,Financials,-4,0,0
Q3 2009,Healthcare,-3,0,0
Q3 2009,Other,-28,10,0
Q2 2009,Energy,2,2,0
Q2 2009,Financials,-4,0,0
Q2 2009,Healthcare,1,0,0
Q2 2009,Other,5,17,0
Q1 2009,Energy,-1,0,0
Q1 2009,Financials,2,2,0
Q1 2009,Healthcare,2,1,0
Q1 2009,Other,38,31,0
Q1 2009,Technology,-1,0,0
Q4 2008,Energy,0,0,0
Q4 2008,Financials,-2,1,0
Q4 2008,Healthcare,-2,0,0
Q4 2008,Other,41,33,0
Q4 2008,Technology,-1,0,0
Q3 2008,Energy,-1,0,0
Q3 2008,Financials,-2,2,0
Q3 2008,Healthcare,2,1,0
Q3 2008,Other,16,21,0
Q3 2008,Technology,1,1,0
Q2 2008,Energy,-1,0,0
Q2 2008,Financials,-1,0,0
Q2 2008,Healthcare,1,1,0
Q2 2008,Other,8,19,0
Q1 2008,Financials,0,1,0
Q1 2008,Other,6,13,0
Q4 2007,Energy,1,0,0
Q4 2007,Financials,0,0,0
Q4 2007,Healthcare,-1,0,0
Q4 2007,Other,11,10,0
Q3 2007,Financials,2,1,0
Q3 2007,Healthcare,1,0,0
Q3 2007,Other,33,18,0
Q2 2007,Financials,-1,0,0
Q2 2007,Other,-13,5,0
Q1 2007,Healthcare,0,0,0
Q1 2007,Other,4,6,0
